County,Venue,VenueLatitude,VenueLongitude,VenueCategory
"Collin County, Texas",Baylor Scott & White Medical Center - McKinney,33.22134338,-96.68231198,['Medical Center']
"Collin County, Texas",Carter BloodCare,33.10205777249303,-96.70133682512115,['Medical Center']
"Collin County, Texas",Methodist Richardson Medical Group,32.99612741227267,-96.66599435719654,['Medical Center']
"Collin County, Texas",Medical Center of McKinney,33.160291654044045,-96.63704664397319,['Medical Center']
"Collin County, Texas",Village Health Partners – Independence Medical Village,33.08803322077791,-96.7483602625656,"[""Doctor's Office""]"
"Collin County, Texas",Rosemore Eye Care,33.08497399043259,-96.7921354898955,['Optical Shop']
"Collin County, Texas",CVS pharmacy,33.05955396118348,-96.73368209974501,['Pharmacy']
"Collin County, Texas",DIGESTIVE HEALTH ASSOCIATES,33.160472999999996,-96.634399,"[""Doctor's Office""]"
"Collin County, Texas",LabCorp,33.160959878440735,-96.63427417500112,['Medical Center']
"Collin County, Texas",Collin County Health Care Bldg.,33.205133000000004,-96.61326899999999,['Medical Center']
"Collin County, Texas",Medical Center of McKinney - Wysong Campus,33.19737497763115,-96.64006626878304,['Medical Center']
"Collin County, Texas",Texas Oncology,33.15979254963198,-96.63883483174794,['Medical Center']
"Collin County, Texas",Preferred Imaging,33.21565835461462,-96.63426373908797,['Medical Center']
"Collin County, Texas",MinuteClinic,33.123738794295996,-96.66180480868776,['Medical Center']
"Collin County, Texas",CareNow,33.20455001352891,-96.63942217826843,['Medical Center']
"Collin County, Texas",McKinney Medical Arts Center,33.161008,-96.634145,"[""Doctor's Office""]"
"Collin County, Texas",Smart Health & Wellness Center - Primary Care Physicians - Psychiatry - Neurology - Mckinney,33.1428151,-96.70709289999999,['Medical Center']
"Collin County, Texas",Envision Imaging of Allen,33.114270040703346,-96.67589760879719,['Medical Center']
"Collin County, Texas",Craig Ranch Surgery Center,33.1316829463546,-96.7172619903255,['Medical Center']
"Collin County, Texas",Texas Vision & Laser Center,33.198237,-96.64995,"[""Doctor's Office""]"
"Collin County, Texas",New Horizons,33.158447265625,-96.63462829589844,"[""Doctor's Office""]"
"Collin County, Texas",380 West Animal Hospital,33.217659999999995,-96.675949,['Medical Center']
"Collin County, Texas",dallas nephrology,33.1596726,-96.6371326,"[""Doctor's Office""]"
"Collin County, Texas",Village Health Partners – McKinney Medical Village,33.1752454,-96.7138074,['Medical Center']
"Collin County, Texas",Brookdale Stonebridge Ranch,33.18648634477344,-96.71283692121506,['Assisted Living']
"Collin County, Texas",Garnet Hill,33.035587188705186,-96.5943281837584,['Medical Center']
"Collin County, Texas",Target Optical,33.12344060667029,-96.66195474458533,"[""Doctor's Office""]"
"Collin County, Texas",Express family clinic,33.14238479999999,-96.6755821,"[""Doctor's Office""]"
"Collin County, Texas",Texas Oncology,33.114400259198746,-96.76921114103288,['Medical Center']
"Collin County, Texas","Leslie Campbell, DPM",33.116635339498124,-96.67421963783558,"[""Doctor's Office""]"
"Collin County, Texas","J. Carruthers, MD",33.116026,-96.675179,"[""Doctor's Office""]"
"Collin County, Texas",Allen Sports And Spine Care,33.113656,-96.6752119,"[""Doctor's Office""]"
"Collin County, Texas",Skin Specialists Of Allen,33.11369978592089,-96.67658891267848,"[""Doctor's Office""]"
"Collin County, Texas",4 The Health of It,33.111538,-96.679919,"[""Doctor's Office""]"
"Collin County, Texas",Advanced Foot And Ankle Center,33.198137,-96.69031899999999,"[""Doctor's Office""]"
"Collin County, Texas",ENTTex,33.1740945,-96.70469969999999,"[""Doctor's Office""]"
"Collin County, Texas",Kroger Pharmacy,33.11580811367808,-96.64980235727853,['Pharmacy']
"Collin County, Texas",Dermatology Specialists of McKinney,33.22115037638489,-96.68098145560867,"[""Doctor's Office""]"
"Collin County, Texas",Baylor Medical Center Physician's Building,33.22115956145048,-96.68211789543386,"[""Doctor's Office""]"
"Collin County, Texas",Modern Family Vision,33.10220399372919,-96.68376660226467,"[""Doctor's Office""]"
"Collin County, Texas",Baylor Family Medicine at McKinney,33.221306,-96.682124,"[""Doctor's Office""]"
"Collin County, Texas",Kroger Pharmacy,33.038688535849914,-96.73499356023967,['Pharmacy']
"Collin County, Texas",Dr. Steven Overn,33.19971799850464,-96.701195,"[""Doctor's Office""]"
"Collin County, Texas",Childrens Choice Pediatrics,33.198828999999996,-96.704371,"[""Doctor's Office""]"
"Collin County, Texas",McKinney Family Medicine,33.17477027001741,-96.71817736386241,"[""Doctor's Office""]"
"Collin County, Texas",Richardson Regional Cancer Center,32.996534119483584,-96.66842436013914,['Medical Center']
"Collin County, Texas",Precision Vascular,33.1318695,-96.7171882,"[""Doctor's Office""]"
"Collin County, Texas",Alpha Orthopedics,33.13298673789688,-96.7185565748595,"[""Doctor's Office""]"
"Collin County, Texas",Texas Medical Diagnostics,33.080169,-96.797617,['Medical Center']
